País,Fecha de estudio,Enfermedad,Categoría,Ratios,Rango edad,Género,Tipo de tratamiento,Coste medio tratamiento (USD),Disponibilidad de vacuna/tratamiento
Rusia,14/07/2022,Cáncer,Respiratoria,9.99;85.21,0 - 18,Femenino,Vacunación,14498,S
Francia,13/10/2024,Dengue,Infecciosa,8.86;51.89,61+,Masculino,Vacunación,1857,S
Arabia Saudita,28/10/2021,Hipertensión,Genética,9.7;98.37,19 - 35,Femenino,Terapia,12147,S
Italia,28/11/2024,Gripe,Cardiovascular,8.82;86.18,36 - 60,Femenino,Cirugía,46148,N
Indonesia,02/03/2020,Zika,Neurológica,8.81;74.62,36 - 60,Masculino,Medicación,31443,N
Francia,06/07/2021,Enfermedad de Parkinson,Crónica,8.8;66.02,36 - 60,Masculino,Medicación,29421,N
Brasil,21/05/2021,Poliomielitis,Viral,8.75;66.7,0 - 18,Femenino,Vacunación,38293,N
Rusia,03/11/2022,Asma,Autoinmune,8.66;58.7,0 - 18,Masculino,Cirugía,32284,S
México,24/12/2020,Diabetes,Bacteriana,8.41;65.16,0 - 18,Femenino,Terapia,2304,N
Korea del Sur,14/12/2024,Zika,Crónica,8.37;95.73,61+,Masculino,Vacunación,35218,N
Italia,09/08/2021,Malaria,Bacteriana,8.13;62.3,36 - 60,Femenino,Medicación,4496,N
Italia,18/02/2021,Hipertensión,Respiratoria,8;96.78,61+,Ambos,Cirugía,5447,N
Canadá,24/09/2021,Gripe,Cardiovascular,7.99;75.27,35+,Femenino,Cirugía,5721,N
India,01/01/2020,Gripe,Infecciosa,7.98;50.53,36 - 60,Femenino,Medicación,11539,N
México,02/05/2024,Ébola,Genética,7.84;51.54,0 - 18,Ambos,Cirugía,38111,N
Reino Unido,12/04/2021,Ébola,Respiratoria,7.83;56.24,0 - 18,Masculino,Medicación,21719,N
Alemania,13/08/2023,Tuberculosis,Bacteriana,7.82;53.3,0 - 18,Masculino,Cirugía,8307,N
Brasil,06/01/2021,Asma,Autoinmune,7.68;58.21,36 - 60,Masculino,Terapia,2091,S
Turquía,13/03/2023,Cólera,Metabólica,7.59;90.49,0 - 18,Ambos,Terapia,39785,N
México,19/04/2021,Cólera,Cardiovascular,7.17;66.73,36 - 60,Ambos,Medicación,23054,S
Brasil,11/11/2021,Ébola,Genética,7.07;51.19,36 - 60,Femenino,Cirugía,5339,N
India,30/09/2023,Dengue,Cardiovascular,7.06;67.93,20+,Masculino,Cirugía,24661,N
Korea del Sur,27/07/2021,Dengue,Bacteriana,6.6;55.32,18+,Masculino,Medicación,26880,S
Japón,13/11/2022,Malaria,Parasitaria,6.41;52.81,36 - 60,Ambos,Cirugía,17656,S
Sudáfrica,25/08/2024,Dengue,Parasitaria,6.4;78.79,0 - 18,Masculino,Vacunación,5358,S
Brasil,27/09/2020,Enfermedad de Alzheimer,Cardiovascular,5.65;67.06,36 - 60,Ambos,Medicación,37121,S
EEUU,30/10/2024,Hepatitis,Autoinmune,5.56;76.05,0 - 18,Femenino,Medicación,15962,S
Indonesia,10/04/2024,Hipertensión,Cardiovascular,5.12;52.07,36 - 60,Femenino,Vacunación,42710,N
Korea del Sur,01/12/2020,Ébola,Neurológica,4.52;70.91,0 - 18,Masculino,Terapia,43975,S
Italia,23/04/2023,Lepra,Metabólica,4.45;93.46,19 - 35,Ambos,Vacunación,30394,S
Reino Unido,11/02/2022,Ébola,Neurológica,4.22;68.16,61+,Masculino,Cirugía,47202,N
